2,2,0,2,2,0,2,2,2,2,1,2,1,2,3,0,3,4,3,4,3,4,3,4,0,5,5,5,5,5,4,4
2,2,2,5,0,0,1,2,1,2,1,1,1,1,3,3,0,0,2,4,3,4,3,4,2,3,5,3,2,3,5,3
2,2,2,2,2,2,1,1,1,1,3,1,3,1,2,3,3,0,0,0,3,4,3,4,1,2,3,1,1,2,3,1
2,1,1,2,1,2,3,1,3,1,3,3,3,3,3,2,2,0,0,0,0,0,0,0,1,1,3,3,1,1,3,3
1,1,1,1,1,1,3,3,3,3,2,3,2,3,5,3,3,0,0,0,0,0,0,0,3,1,2,3,3,1,2,3
1,3,3,1,3,1,2,3,2,3,1,2,1,2,3,1,1,0,0,0,0,0,3,1,2,3,3,3,2,3,5,3
3,3,3,3,3,3,3,2,3,2,1,1,1,1,3,3,3,0,0,0,0,0,0,3,1,2,3,3,1,2,3,1
3,2,2,3,2,3,5,3,5,3,3,1,3,1,2,3,3,3,3,0,0,0,0,0,0,3,1,2,3,3,3,3
2,3,3,2,3,2,5,5,5,5,3,3,3,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,3,1,2,3
3,5,5,3,5,3,5,5,5,5,2,3,2,3,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,5,4
5,5,5,5,5,5,5,5,5,5,2,3,2,3,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,5,5,5,5,2,1,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,5,5,5,3,1,1,1,1,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,5,2,3,5,3,1,3,1,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,5,3,2,3,3,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,5,3,2,2,3,2,3,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,0,5,3,0,2,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,4,0,0,5,2,0,0,0,0,0,3,3,0,0,0,48,0,0,0,2,2,0,2,3,0,0,0,0,0
2,2,2,2,2,0,2,3,2,2,2,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2,4,4,2,2,2,0,5,3,3,3,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,0,0,5,5,64,56,0,60,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,4,4,4,5,0,0,0,64,0,60,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4,3,3,3,3,3,3,0,0,40,0,0,40,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,1,1,1,64,1,56,0,0,0,16,0,32,56,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,4,4,4,4,4,0,0,0,0,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,2,2,2,2,0,0,0,0,0,16,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1,1,1,1,1,48,0,0,0,0,16,16,0,0,0,0,20,20,5,5,0,0,0,0,0,2,2,0,2,2,0
1,5,5,1,56,1,1,0,0,0,0,5,5,5,8,5,5,0,0,5,5,5,0,0,0,0,2,2,2,2,2,0
5,5,5,5,5,5,0,0,0,0,0,5,16,5,5,0,0,5,5,5,5,0,0,0,0,0,0,2,2,2,0,0
5,5,5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,2,0,2,0
5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
