gridIndex	0
gridExtents	16	16
IDMax	15
dockID	-1
dockRotation	0
slider1	0.49583328
toggle1	0
toggle2	1
toggle3	1
2	15	0	0
6	15	1	90
2	15	2	0
4	15	3	0
1	15	4	0
0	15	5	0
6	15	6	90
0	15	7	0
2	15	8	0
0	15	9	0
2	15	10	0
6	15	11	180
0	15	12	0
3	15	13	0
1	15	14	0
0	15	15	0
6	14	0	0
6	14	1	0
6	14	2	0
6	14	3	180
6	14	4	90
6	14	5	0
6	14	6	270
6	14	7	90
6	14	8	0
6	14	9	0
6	14	10	270
6	14	11	90
6	14	12	90
6	14	13	90
6	14	14	0
6	14	15	90
0	13	0	0
6	13	1	270
1	13	2	0
0	13	3	0
2	13	4	0
3	13	5	0
6	13	6	180
5	13	7	0
1	13	8	0
2	13	9	0
0	13	10	0
6	13	11	0
3	13	12	0
1	13	13	0
2	13	14	0
3	13	15	0
5	12	0	0
6	12	1	0
0	12	2	0
-1	12	3	0
-1	12	4	0
3	12	5	0
6	12	6	0
3	12	7	0
-1	12	8	0
-1	12	9	0
2	12	10	0
6	12	11	270
0	12	12	0
-1	12	13	0
-1	12	14	0
0	12	15	0
0	11	0	0
6	11	1	270
2	11	2	0
-1	11	3	0
-1	11	4	0
2	11	5	0
6	11	6	270
0	11	7	0
-1	11	8	0
-1	11	9	0
4	11	10	0
6	11	11	180
1	11	12	0
-1	11	13	0
-1	11	14	0
4	11	15	0
5	10	0	0
6	10	1	0
2	10	2	0
3	10	3	0
5	10	4	0
3	10	5	0
6	10	6	0
2	10	7	0
2	10	8	0
1	10	9	0
2	10	10	0
6	10	11	180
0	10	12	0
3	10	13	0
5	10	14	0
0	10	15	0
6	9	0	90
6	9	1	270
6	9	2	0
6	9	3	270
6	9	4	180
6	9	5	90
6	9	6	270
6	9	7	180
6	9	8	270
6	9	9	270
6	9	10	180
6	9	11	180
6	9	12	0
6	9	13	180
6	9	14	180
6	9	15	180
1	8	0	0
6	8	1	270
0	8	2	0
0	8	3	0
4	8	4	0
4	8	5	0
6	8	6	0
0	8	7	0
1	8	8	0
2	8	9	0
0	8	10	0
6	8	11	270
3	8	12	0
0	8	13	0
4	8	14	0
2	8	15	0
0	7	0	0
6	7	1	0
0	7	2	0
-1	7	3	0
-1	7	4	0
1	7	5	0
6	7	6	90
0	7	7	0
-1	7	8	0
-1	7	9	0
0	7	10	0
6	7	11	180
0	7	12	0
-1	7	13	0
-1	7	14	0
1	7	15	0
1	6	0	0
6	6	1	90
2	6	2	0
-1	6	3	0
-1	6	4	0
3	6	5	0
6	6	6	180
3	6	7	0
-1	6	8	0
-1	6	9	0
5	6	10	0
6	6	11	90
4	6	12	0
-1	6	13	0
-1	6	14	0
0	6	15	0
2	5	0	0
6	5	1	180
1	5	2	0
0	5	3	0
1	5	4	0
4	5	5	0
6	5	6	270
0	5	7	0
1	5	8	0
3	5	9	0
0	5	10	0
6	5	11	90
5	5	12	0
0	5	13	0
2	5	14	0
0	5	15	0
6	4	0	90
6	4	1	0
6	4	2	90
6	4	3	0
6	4	4	0
6	4	5	180
6	4	6	270
6	4	7	270
6	4	8	180
6	4	9	0
6	4	10	0
6	4	11	180
6	4	12	90
6	4	13	270
6	4	14	90
6	4	15	270
4	3	0	0
6	3	1	90
4	3	2	0
0	3	3	0
1	3	4	0
0	3	5	0
6	3	6	0
3	3	7	0
3	3	8	0
1	3	9	0
0	3	10	0
6	3	11	180
3	3	12	0
5	3	13	0
0	3	14	0
2	3	15	0
0	2	0	0
6	2	1	180
4	2	2	0
-1	2	3	0
-1	2	4	0
1	2	5	0
6	2	6	90
2	2	7	0
-1	2	8	0
-1	2	9	0
0	2	10	0
6	2	11	0
2	2	12	0
-1	2	13	0
-1	2	14	0
0	2	15	0
1	1	0	0
6	1	1	0
2	1	2	0
-1	1	3	0
-1	1	4	0
0	1	5	0
6	1	6	270
3	1	7	0
-1	1	8	0
-1	1	9	0
2	1	10	0
6	1	11	270
0	1	12	0
-1	1	13	0
-1	1	14	0
5	1	15	0
0	0	0	0
6	0	1	0
5	0	2	0
1	0	3	0
5	0	4	0
4	0	5	0
6	0	6	90
5	0	7	0
3	0	8	0
1	0	9	0
3	0	10	0
6	0	11	270
2	0	12	0
3	0	13	0
3	0	14	0
0	0	15	0
14	19	3	14	3	3
407812864	407812864	199520016	

