-1,3,3,3,3,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,3,3,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1
3,3,3,3,3,3,6,3,3,9,9,-1,-1,-1,-1,-1
3,3,3,3,3,3,3,3,9,9,9,9,-1,-1,-1,-1
3,3,3,3,3,3,3,9,9,9,9,9,9,-1,-1,-1
3,3,3,7,3,3,9,9,9,9,0,9,9,9,9,-1
-1,-1,7,3,3,3,9,9,9,9,0,0,9,9,3,3
7,7,7,3,3,3,3,9,9,9,0,0,0,3,3,3
7,7,7,9,3,3,3,3,9,9,9,0,0,3,5,6
7,7,7,9,9,3,3,3,3,9,9,9,0,3,3,6
7,7,7,9,9,9,9,3,5,9,9,0,0,3,3,3
7,7,7,9,9,9,9,9,9,5,3,5,0,-1,3,3
7,7,7,7,9,9,9,9,9,9,3,3,3,3,-1,3
7,7,7,7,9,9,9,9,9,9,9,9,-1,3,3,-1
7,7,7,7,7,7,7,7,9,0,0,-1,-1,-1,3,3
